LATITUDE,LONGITUDE,PRCP
35.83111,-90.64639,359.1
42.4063,-90.3181,74.5
40.07806,-83.07806,115.4
40.5321,-90.1473,112
42.7631,-84.7622,118.4
39.2975,-87.9746,134.4
40.4665,-90.0922,92.7
42.23333,-83.53333,66.7
35.05646,-83.19822,314.2
43.15611,-90.6775,34.6
41.3289,-88.2701,135.3
39.5128,-86.6418,107
39.3475,-85.4891,155.8
40.5274,-89.1701,23.5
41.7018,-87.782,142.6
41.6703,-87.7312,120.4
38.8169,-92.2183,76.1
42.1511,-83.1492,88
36.092,-82.175,96.9
35.989,-82.128,71.9
41.7346,-88.2391,84.7
40.4355,-85.2891,94.8
35.2191,-84.7921,176
36.4966,-87.1994,205.6
36.5176,-87.429,269.1
34.9818,-92.0064,369.6
40.2913,-82.6546,170.1
36.6027,-87.3793,328.6
40.501,-88.9319,133.3
42.9666,-83.7494,102.2
40.9705,-85.2063,111
38.5852,-92.1825,68.3
38.8099,-90.003,149.9
43.9758,-84.4908,79.8
41.5333,-85.7833,166.9
42.5175,-84.653,122.7
41.3331,-83.1189,72.8
36.9987,-86.4276,235.2
42.342,-83.3021,94.1
42.2667,-84.4667,109.9
42.77,-84.4031,115
36.5524,-85.5004,242.2
38.59111,-92.15583,70.6
35.2239,-89.8148,319
38.57139,-90.15722,154.3
43.5861,-83.1805,71.6
42.4669,-83.3625,92.8
39.5446,-86.3629,133.8
41.77,-88.48139,69.9
41.8935,-87.9485,101.8
39.3508,-86.5871,135.6
37.31864,-91.96282,191.7
35.2546,-89.8068,300.4
41.7462,-86.1072,227.9
40.303,-90.0647,84.5
41.86778,-84.07944,105.4
40.4489,-85.4543,100.2
42.595,-87.93806,38.8
35.0893,-82.0969,127.6
42.3195,-83.2377,105.2
35.7108,-88.959,327.6
35.5813,-88.8306,285
43.76944,-88.49083,26.3
35.6959,-88.8399,331.6
42.3469,-83.1736,94.5
40.4681,-85.5024,89.6
39.1312,-87.6402,131.3
43.1876,-91.862,44
35.5261,-82.9073,104.7
42.12083,-87.90472,56.2
39.8801,-86.0514,115.6
42.74611,-86.09667,97.2
40.4712,-88.6196,114.3
36.4596,-87.573,264
40.3135,-88.9676,141.5
41.3705,-85.0457,115.5
40.5343,-89.2055,95.3
35.6881,-88.8857,338.5
40.3535,-83.7754,111.7
40.8816,-83.709,91.5
37.2822,-82.0894,198.5
36.1092,-92.1636,220.5
43.4447,-88.8477,52.5
36.5556,-87.4354,303
35.4389,-82.7873,109.7
41.8089,-88.2528,100
36.3992,-87.3923,227.3
35.2676,-89.8376,305.8
36.4607,-87.1842,228.6
43.7952,-88.4533,19.2
41.61389,-90.59139,63
42.2826,-89.6036,71.3
41.2947,-88.2778,63.5
41.3525,-85.29611,127.5
39.1127,-84.1389,188.5
39.7858,-85.7611,129.3
37.6527,-84.7708,174.8
41.3414,-88.2981,137.4
43.5136,-87.8547,52.3
42.4292,-89.4173,76.7
42.0038,-89.9389,93.9
42.1153,-88.1639,97.3
35.7,-88.7724,287
35.9307,-91.055,271.7
41.3375,-84.42889,93.3
37.4378,-87.4418,247.9
42.3095,-89.6637,84
38.9302,-84.142,204.9
39.0212,-84.2186,198.5
43.6309,-91.5027,31.2
41.34611,-82.17944,71.5
42.5452,-83.3177,93.4
42.41667,-87.86667,43.9
43.7666,-88.4669,33.2
41.7319,-87.9486,128.2
43.3194,-88.168,60.7
40.4555,-85.3743,102
36.0984,-87.0963,296.3
38.4949,-89.9811,186.9
38.678,-88.4798,151.5
36.0806,-87.1165,310.9
40.061,-87.9638,177.6
36.0138,-85.1345,285.7
40.5069,-85.4275,106.4
42.823,-86.0678,119.7
36.1461,-81.7877,130.8
39.4721,-88.1763,105
36.2993,-86.4238,286.9
36.201,-81.871,128.6
34.9772,-91.4978,255.9
38.3803,-85.8704,264
39.7647,-84.6338,155.2
38.333,-87.4473,206.4
40.7521,-81.7459,131.9
42.8231,-86.1485,107.2
39.7437,-84.6543,151.7
38.9681,-90.4289,104
35.76,-82.4325,87.7
35.0886,-81.9874,113.4
40.4462,-85.3663,86.2
36.0297,-86.9009,267.7
40.4619,-85.3729,93.8
37.2896,-91.8896,206.4
40.4489,-85.374,100.1
35.1074,-81.9101,102.9
36.1502,-86.5738,285.8
42.1747,-89.2678,90.7
35.1682,-81.939,130.9
42.905,-88.8588,82.4
41.1977,-90.7447,102.9
39.5253,-91.645,66.1
37.687,-85.845,236
40.8131,-83.7383,92.7
37.2036,-89.0422,161.2
41.2498,-81.8133,125.2
37.6535,-92.0833,186.3
37.858,-85.007,256.7
36.126,-86.7954,247.6
39.7067,-86.2807,125.7
35.4442,-88.7244,401.8
34.9792,-82.2119,155.5
35.991,-84.5473,265.1
36.0673,-86.9413,302
41.5067,-87.5248,160.4
40.3569,-84.3736,134.9
40.3563,-84.4076,134.2
38.3228,-85.8958,287.9
36.8505,-85.5463,234.2
38.3432,-85.8951,285.1
42.5038,-89.0311,74
38.18472,-84.90333,233.5
36.8525,-85.5488,235.7
39.825,-86.29583,106.3
39.7133,-90.2285,107.7
42.557,-82.9494,87.4
40.2709,-84.3247,124.6
36.3283,-81.843,93.3
40.0851,-85.3488,105.1
43.3261,-89.0081,58.4
42.4307,-92.2253,52
35.0979,-81.8941,115.8
38.1868,-90.1507,215.4
36.1941,-86.5764,275
41.4334,-90.4175,107.8
41.4089,-87.3899,162
41.4673,-90.1818,89.5
41.4082,-83.6716,89.5
38.45028,-83.73556,243.6
40.1623,-85.0162,95.2
40.0648,-88.2426,165.1
42.7707,-86.1621,120.7
36.1153,-85.5332,277.5
41.3873,-83.6785,100.8
40.1063,-88.2751,115.7
37.79278,-86.2325,295.8
44.03279,-88.14683,36.3
40.6458,-91.564,82.1
37.6953,-90.6657,197.3
38.2246,-90.5689,201.2
39.6552,-86.8462,95.3
39.1181,-88.6244,119.8
37.28,-91.8859,176.5
39.1065,-88.5312,108.4
39.6221,-86.779,110.9
37.9842,-89.9492,180.5
36.3805,-84.8744,267.4
41.48333,-83.21667,68.8
35.5453,-82.6987,77.6
39.6606,-86.8207,108.8
40.1642,-83.1687,151.5
39.373,-90.9052,45.7
41.6084,-87.9327,150.4
41.9985,-82.8341,64.6
43.4406,-88.6325,58.6
41.4663,-87.5544,166.4
38.5547,-89.1297,178.2
40.2337,-82.9362,153.4
40.9464,-90.3856,96.8
36.861,-86.7158,258.7
35.8306,-91.7944,259.5
39.2733,-87.1072,121.4
36.9931,-87.1503,263.8
36.8331,-86.7387,246.1
39.1763,-87.1446,131.4
36.6534,-87.184,277.4
36.1924,-85.5917,302.7
41.4619,-84.5272,94
36.1089,-86.8822,311.2
39.9072,-87.9961,132.5
40.0958,-88.262,163.4
40.3061,-85.4158,95.5
40.0946,-88.2704,162
43.3439,-91.6443,34.3
39.7344,-86.5361,131.3
